,rating,ana_timePlayed,ana_defensiveAssistsAvgPer10Min,ana_offensiveAssistsAvgPer10Min,ana_barrierDamageDoneAvgPer10Min,ana_criticalHitsAvgPer10Min,ana_deathsAvgPer10Min,ana_eliminationsAvgPer10Min,ana_finalBlowsAvgPer10Min,ana_healingDoneAvgPer10Min,ana_heroDamageDoneAvgPer10Min,ana_objectiveKillsAvgPer10Min,ana_objectiveTimeAvgPer10Min,ana_soloKillsAvgPer10Min,ana_timeSpentOnFireAvgPer10Min,ana_weaponAccuracy,ana_enemiesSleptAvgPer10Min,ana_nanoBoostAssistsAvgPer10Min,ana_scopedAccuracy,ana_selfHealingAvgPer10Min,ana_unscopedAccuracy,baptiste_timePlayed,baptiste_defensiveAssistsAvgPer10Min,baptiste_offensiveAssistsAvgPer10Min,baptiste_barrierDamageDoneAvgPer10Min,baptiste_criticalHitsAvgPer10Min,baptiste_deathsAvgPer10Min,baptiste_eliminationsAvgPer10Min,baptiste_finalBlowsAvgPer10Min,baptiste_healingDoneAvgPer10Min,baptiste_heroDamageDoneAvgPer10Min,baptiste_objectiveKillsAvgPer10Min,baptiste_objectiveTimeAvgPer10Min,baptiste_soloKillsAvgPer10Min,baptiste_timeSpentOnFireAvgPer10Min,baptiste_weaponAccuracy,baptiste_amplificationMatrixAssistsAvgPer10Min,baptiste_healingAccuracy,baptiste_immortalityFieldDeathsPreventedAvgPer10Min,baptiste_selfHealingAvgPer10Min,brigitte_timePlayed,brigitte_defensiveAssistsAvgPer10Min,brigitte_offensiveAssistsAvgPer10Min,brigitte_barrierDamageDoneAvgPer10Min,brigitte_criticalHitsAvgPer10Min,brigitte_deathsAvgPer10Min,brigitte_eliminationsAvgPer10Min,brigitte_finalBlowsAvgPer10Min,brigitte_healingDoneAvgPer10Min,brigitte_heroDamageDoneAvgPer10Min,brigitte_objectiveKillsAvgPer10Min,brigitte_objectiveTimeAvgPer10Min,brigitte_soloKillsAvgPer10Min,brigitte_timeSpentOnFireAvgPer10Min,brigitte_weaponAccuracy,brigitte_armorProvidedAvgPer10Min,brigitte_damageBlockedAvgPer10Min,brigitte_inspireUptimePercentage,lucio_timePlayed,lucio_defensiveAssistsAvgPer10Min,lucio_offensiveAssistsAvgPer10Min,lucio_barrierDamageDoneAvgPer10Min,lucio_criticalHitsAvgPer10Min,lucio_deathsAvgPer10Min,lucio_eliminationsAvgPer10Min,lucio_finalBlowsAvgPer10Min,lucio_healingDoneAvgPer10Min,lucio_heroDamageDoneAvgPer10Min,lucio_objectiveKillsAvgPer10Min,lucio_objectiveTimeAvgPer10Min,lucio_soloKillsAvgPer10Min,lucio_timeSpentOnFireAvgPer10Min,lucio_weaponAccuracy,lucio_soundBarriersProvidedAvgPer10Min,lucio_selfHealingAvgPer10Min,mercy_timePlayed,mercy_defensiveAssistsAvgPer10Min,mercy_offensiveAssistsAvgPer10Min,mercy_barrierDamageDoneAvgPer10Min,mercy_criticalHitsAvgPer10Min,mercy_deathsAvgPer10Min,mercy_eliminationsAvgPer10Min,mercy_finalBlowsAvgPer10Min,mercy_healingDoneAvgPer10Min,mercy_heroDamageDoneAvgPer10Min,mercy_objectiveKillsAvgPer10Min,mercy_objectiveTimeAvgPer10Min,mercy_soloKillsAvgPer10Min,mercy_timeSpentOnFireAvgPer10Min,mercy_weaponAccuracy,mercy_damageAmplifiedAvgPer10Min,mercy_playersResurrectedAvgPer10Min,moira_timePlayed,moira_defensiveAssistsAvgPer10Min,moira_offensiveAssistsAvgPer10Min,moira_barrierDamageDoneAvgPer10Min,moira_criticalHitsAvgPer10Min,moira_deathsAvgPer10Min,moira_eliminationsAvgPer10Min,moira_finalBlowsAvgPer10Min,moira_healingDoneAvgPer10Min,moira_heroDamageDoneAvgPer10Min,moira_objectiveKillsAvgPer10Min,moira_objectiveTimeAvgPer10Min,moira_soloKillsAvgPer10Min,moira_timeSpentOnFireAvgPer10Min,moira_weaponAccuracy,moira_coalescenceHealingAvgPer10Min,moira_coalescenceKillsAvgPer10Min,moira_secondaryFireAccuracy,moira_selfHealingAvgPer10Min,zenyatta_timePlayed,zenyatta_defensiveAssistsAvgPer10Min,zenyatta_offensiveAssistsAvgPer10Min,zenyatta_barrierDamageDoneAvgPer10Min,zenyatta_criticalHitsAvgPer10Min,zenyatta_deathsAvgPer10Min,zenyatta_eliminationsAvgPer10Min,zenyatta_finalBlowsAvgPer10Min,zenyatta_healingDoneAvgPer10Min,zenyatta_heroDamageDoneAvgPer10Min,zenyatta_objectiveKillsAvgPer10Min,zenyatta_objectiveTimeAvgPer10Min,zenyatta_soloKillsAvgPer10Min,zenyatta_timeSpentOnFireAvgPer10Min,zenyatta_weaponAccuracy,zenyatta_transcendenceHealingBest
0,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21644,14.72,,1150,,5.24,16.11,3.03,8625,3831,10.38,01:41,0.17,00:21,,1155,3.85,22%,1259,,,,,,,,,,,,,,,,
1,1309,10821.0,9.36,6.83,1094.0,,8.22,7.6,1.4,5864.0,2172.0,3.52,00:50,0.26,00:11,22%,5.74,2.33,52%,373.0,52%,3630.0,14.14,1.02,1532.0,9.3,7.39,7.9,1.91,6816.0,2528.0,3.44,01:22,,00:43,28%,1.02,69%,1.78,919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28847.0,15.5,15.32,3513.0,10.72,6.31,14.79,5.06,5504.0,5081.0,6.76,00:55,0.71,00:39,21%,2589.0
2,2842,7231.0,12.33,10.73,1324.0,,7.03,15.59,3.83,8108.0,3849.0,5.37,00:43,0.7,01:47,29%,7.35,4.41,66%,363.0,54%,3620.0,16.83,2.63,2458.0,25.65,7.1,21.53,8.59,7974.0,6652.0,5.61,00:29,1.6,02:33,40%,2.63,74%,2.86,956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1454,7206.0,12.68,6.22,1107.0,,6.03,6.58,1.1,7811.0,1539.0,3.05,00:45,,00:21,11%,3.11,2.86,56%,350.0,42%,,,,,,,,,,,,,,,,,,,,3610.0,18.34,2.09,562.0,,8.04,6.11,1.45,6435.0,1886.0,3.7,01:49,0.32,,,1000.0,2621.0,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3638,7.86,,727,,7.23,12.73,2.67,6850,3997,6.6,01:03,,,,933,3.77,37%,985,,,,,,,,,,,,,,,,
4,3409,32431.0,14.37,10.48,1199.0,,5.19,10.03,1.38,10213.0,2131.0,4.1,01:10,0.12,01:06,12%,5.94,4.21,54%,389.0,51%,10802.0,20.04,2.48,2361.0,7.38,5.92,9.26,1.83,10824.0,2687.0,4.45,00:40,0.09,01:03,35%,2.48,71%,4.31,1199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7253.0,21.15,14.28,3846.0,7.87,4.8,13.81,3.54,8352.0,4651.0,5.74,01:00,0.27,00:25,24%,3140.0
5,2549,14404.0,11.02,9.22,1180.0,,5.41,10.08,1.97,8890.0,2287.0,4.14,00:51,0.2,00:49,22%,4.96,3.56,64%,485.0,57%,10827.0,17.67,3.22,2651.0,6.75,5.56,11.17,3.43,9363.0,2868.0,4.73,00:45,0.47,00:51,30%,3.22,71%,3.22,1196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1368,3623.0,12.03,7.99,1747.0,,5.39,9.34,1.14,6674.0,2124.0,4.05,00:25,,00:28,11%,4.15,3.11,41%,139.0,35%,7229.0,14.57,1.74,2169.0,9.53,7.06,11.82,3.31,7078.0,3559.0,4.65,00:54,0.28,00:52,27%,1.74,56%,2.97,1082.0,,,,,,,,,,,,,,,,,,,3634.0,10.21,8.29,2309.0,15.84,6.22,15.39,4.29,6974.0,4551.0,9.03,02:47,0.59,00:55,25%,13.62,1561.0,3608.0,21.02,9.98,468.0,6.7,4.6,5.52,1.18,9035.0,903.0,2.89,01:04,0.26,00:27,31%,1135.0,3.81,,,,,,,,,,,,,,,,,,,,7247.0,23.94,27.28,5111.0,15.36,3.34,26.24,10.59,6563.0,7472.0,12.43,00:52,2.01,02:13,27%,1286.0
8,2777,90054.0,15.09,9.7,1347.0,,6.46,9.76,1.98,10401.0,2411.0,3.76,00:54,0.13,01:09,23%,4.74,4.33,66%,423.0,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25247.0,22.51,7.37,68.96,1.19,6.53,1.61,0.61,10640.0,219.0,0.61,00:45,0.07,00:08,28%,863.0,5.13,7222,17.33,,1192,,7.44,20.5,4.59,11770,4999,7.75,00:36,0.32,00:27,,2239,6.65,49%,1361,3616.0,21.9,12.18,3503.0,9.72,6.77,14.52,4.43,7535.0,4781.0,3.57,00:52,0.74,00:19,29%,1722.0
9,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3608.0,18.98,8.01,125.0,3.4,4.83,1.87,0.33,11429.0,538.0,0.66,00:36,0.11,00:01,33%,1034.0,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2194,3605.0,7.8,9.52,2191.0,,6.4,12.64,1.87,4482.0,3211.0,5.77,02:08,0.16,01:18,19%,5.62,1.56,43%,192.0,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3630,11.43,,1068,,6.94,13.2,3.4,9799,4433,6.12,01:19,0.82,00:03,,1517,4.08,35%,1709,,,,,,,,,,,,,,,,
19,2488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3634.0,22.18,3.48,43.84,0.77,7.09,,,11616.0,88.96,,01:07,,00:18,21%,397.0,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
