,rating,dVa_timePlayed,dVa_barrierDamageDoneAvgPer10Min,dVa_criticalHitsAvgPer10Min,dVa_deathsAvgPer10Min,dVa_eliminationsAvgPer10Min,dVa_finalBlowsAvgPer10Min,dVa_heroDamageDoneAvgPer10Min,dVa_objectiveKillsAvgPer10Min,dVa_objectiveTimeAvgPer10Min,dVa_soloKillsAvgPer10Min,dVa_timeSpentOnFireAvgPer10Min,dVa_weaponAccuracy,dVa_damageBlockedAvgPer10Min,dVa_mechsCalledAvgPer10Min,dVa_selfDestructKillsAvgPer10Min,orisa_timePlayed,orisa_barrierDamageDoneAvgPer10Min,orisa_criticalHitsAvgPer10Min,orisa_deathsAvgPer10Min,orisa_eliminationsAvgPer10Min,orisa_finalBlowsAvgPer10Min,orisa_heroDamageDoneAvgPer10Min,orisa_objectiveKillsAvgPer10Min,orisa_objectiveTimeAvgPer10Min,orisa_soloKillsAvgPer10Min,orisa_timeSpentOnFireAvgPer10Min,orisa_weaponAccuracy,orisa_damageBlockedAvgPer10Min,orisa_superchargerAssistsAvgPer10Min,reinhardt_timePlayed,reinhardt_barrierDamageDoneAvgPer10Min,reinhardt_criticalHitsAvgPer10Min,reinhardt_deathsAvgPer10Min,reinhardt_eliminationsAvgPer10Min,reinhardt_finalBlowsAvgPer10Min,reinhardt_heroDamageDoneAvgPer10Min,reinhardt_objectiveKillsAvgPer10Min,reinhardt_objectiveTimeAvgPer10Min,reinhardt_soloKillsAvgPer10Min,reinhardt_timeSpentOnFireAvgPer10Min,reinhardt_weaponAccuracy,reinhardt_chargeKillsAvgPer10Min,reinhardt_damageBlockedAvgPer10Min,reinhardt_earthshatterKillsAvgPer10Min,reinhardt_fireStrikeKillsAvgPer10Min,roadhog_timePlayed,roadhog_barrierDamageDoneAvgPer10Min,roadhog_criticalHitsAvgPer10Min,roadhog_deathsAvgPer10Min,roadhog_eliminationsAvgPer10Min,roadhog_finalBlowsAvgPer10Min,roadhog_heroDamageDoneAvgPer10Min,roadhog_objectiveKillsAvgPer10Min,roadhog_objectiveTimeAvgPer10Min,roadhog_soloKillsAvgPer10Min,roadhog_timeSpentOnFireAvgPer10Min,roadhog_weaponAccuracy,roadhog_enemiesHookedAvgPer10Min,roadhog_hookAccuracy,roadhog_selfHealingAvgPer10Min,roadhog_wholeHogKillsAvgPer10Min,sigma_timePlayed,sigma_barrierDamageDoneAvgPer10Min,sigma_criticalHitsAvgPer10Min,sigma_deathsAvgPer10Min,sigma_eliminationsAvgPer10Min,sigma_finalBlowsAvgPer10Min,sigma_heroDamageDoneAvgPer10Min,sigma_objectiveKillsAvgPer10Min,sigma_objectiveTimeAvgPer10Min,sigma_soloKillsAvgPer10Min,sigma_timeSpentOnFireAvgPer10Min,sigma_weaponAccuracy,sigma_accretionKillsAvgPer10Min,sigma_damageAbsorbedAvgPer10Min,sigma_damageBlockedAvgPer10Min,sigma_graviticFluxKillsAvgPer10Min,winston_timePlayed,winston_barrierDamageDoneAvgPer10Min,winston_criticalHitsAvgPer10Min,winston_deathsAvgPer10Min,winston_eliminationsAvgPer10Min,winston_finalBlowsAvgPer10Min,winston_heroDamageDoneAvgPer10Min,winston_objectiveKillsAvgPer10Min,winston_objectiveTimeAvgPer10Min,winston_soloKillsAvgPer10Min,winston_timeSpentOnFireAvgPer10Min,winston_weaponAccuracy,winston_damageBlockedAvgPer10Min,winston_jumpPackKillsAvgPer10Min,winston_playersKnockedBackAvgPer10Min,winston_primalRageKillsAvgPer10Min,winston_primalRageMeleeAccuracy,winston_teslaCannonAccuracy,wreckingBall_timePlayed,wreckingBall_barrierDamageDoneAvgPer10Min,wreckingBall_criticalHitsAvgPer10Min,wreckingBall_deathsAvgPer10Min,wreckingBall_eliminationsAvgPer10Min,wreckingBall_finalBlowsAvgPer10Min,wreckingBall_heroDamageDoneAvgPer10Min,wreckingBall_objectiveKillsAvgPer10Min,wreckingBall_objectiveTimeAvgPer10Min,wreckingBall_soloKillsAvgPer10Min,wreckingBall_timeSpentOnFireAvgPer10Min,wreckingBall_weaponAccuracy,wreckingBall_grapplingClawKillsAvgPer10Min,wreckingBall_minefieldKillsAvgPer10Min,wreckingBall_piledriverKillsAvgPer10Min,wreckingBall_playersKnockedBackAvgPer10Min,zarya_timePlayed,zarya_barrierDamageDoneAvgPer10Min,zarya_criticalHitsAvgPer10Min,zarya_deathsAvgPer10Min,zarya_eliminationsAvgPer10Min,zarya_finalBlowsAvgPer10Min,zarya_heroDamageDoneAvgPer10Min,zarya_objectiveKillsAvgPer10Min,zarya_objectiveTimeAvgPer10Min,zarya_soloKillsAvgPer10Min,zarya_timeSpentOnFireAvgPer10Min,zarya_weaponAccuracy,zarya_averageEnergy,zarya_damageBlockedAvgPer10Min,zarya_gravitonSurgeKillsAvgPer10Min,zarya_highEnergyKillsAvgPer10Min,zarya_primaryFireAccuracy
0,1332,10826,3857,164,3.76,19.46,6.47,5334,6.12,01:54,1.1,00:17,23%,6176,4.21,2.41,,,,,,,,,,,,,,,10801,1730,,6.08,15.26,8.23,7338,6.68,02:06,0.56,00:39,,2.93,17571,2.28,4.48,3644,4095,110,5.77,15.29,5.98,5319,7.09,01:08,1.32,00:16,24%,14.99,49%,3459,2.13,,,,,,,,,,,,,,,,,3628,1236,,6.89,20.39,8.23,6133,8.14,01:50,1.05,00:52,,12130,4.4,43.84,2.2,44%,66%,,,,,,,,,,,,,,,,,7240,3208,,5.54,20.13,6.61,6013,9.49,02:01,0.46,00:50,38%,37%,5278,2.81,12.46,41%
1,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3611,4213,,8.16,23.12,12.84,10957,7.4,01:32,0.3,01:56,,3.78,17324,5.59,10.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3624,7114,,4.25,32.77,13.76,12184,9.62,01:03,1.57,03:03,56%,53%,6527,5.48,25.84,50%
2,1516,3615,6356,218,3.86,20.24,5.78,5144,7.39,03:18,1.12,00:44,15%,4575,3.53,3.05,10839.0,5817.0,,6.05,15.71,3.5,5527.0,7.51,01:07,0.05,00:12,23%,17050.0,7.04,28853,1482,,7.67,13.84,6.92,5711,7.24,02:57,0.57,00:39,,4.44,18809,2.72,2.15,,,,,,,,,,,,,,,,,3659.0,3319.0,,6.63,16.51,4.88,6534.0,10.93,03:10,0.23,00:47,,2.91,2379.0,10271.0,1.98,,,,,,,,,,,,,,,,,,,25240.0,2196.0,,7.92,11.72,3.71,5344.0,7.27,02:02,0.83,00:07,28%,4.37,2.21,2.04,63.0,14406,3688,,6.35,14.8,4.05,5325,9.52,02:30,0.36,00:12,41%,32%,5112,1.67,7.3,32%
3,2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3631,5807,,5.24,22.48,7.2,8657,10.58,01:22,0.71,01:16,38%,47%,5969,4.8,16.17,37%
4,2366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7213,2933,,7.74,16.04,7.43,8203,6.12,01:47,0.44,00:51,,3.0,15308,3.93,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3621,3875,,5.23,19.67,4.48,6315,8.34,01:08,0.62,00:51,48%,40%,5905,3.36,13.94,34%
5,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14452,2001,,8.13,12.53,6.76,6460,4.96,01:26,0.5,00:18,,2.79,13378,2.06,4.05,,,,,,,,,,,,,,,,,3618.0,4369.0,,5.28,19.28,7.13,7623.0,8.97,01:45,0.67,01:15,,3.27,1050.0,7707.0,2.77,3602,1114,,6.95,21.29,5.5,5855,9.85,02:00,1.16,00:19,,10618,4.49,48.67,2.03,39%,46%,,,,,,,,,,,,,,,,,18013,4499,,5.49,23.05,8.15,7301,10.72,01:37,1.1,01:27,40%,35%,4949,3.52,13.66,34%
6,1888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25226,3157,,7.33,16.61,7.79,8161,6.62,01:56,0.31,00:33,,4.0,15030,3.04,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25229,4868,,6.19,20.24,6.67,7026,8.98,01:40,0.32,00:38,38%,36%,5506,3.41,12.17,38%
8,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18039,2737,,9.05,20.1,11.48,9371,6.54,01:35,0.62,01:35,,5.64,13720,3.52,5.44,10808,5423,118,6.96,22.55,10.31,7600,8.16,01:06,1.73,00:56,31%,17.47,56%,3580,4.03,3612.0,4552.0,,6.56,22.0,8.69,9852.0,9.61,01:58,1.2,02:32,,4.62,2799.0,8676.0,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14416,5004,,6.32,23.89,10.97,9218,8.28,01:12,1.18,02:04,52%,41%,6120,4.77,16.39,46%
9,2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3646,5249,,6.31,22.36,6.77,7632,10.3,02:25,0.74,01:47,40%,44%,6469,4.55,14.66,39%
